n,m,parseTime,SATime,SearchTime,Description
20,15,118,7,3,sameChar
20,16,116,6,3,sameChar
20,17,142,7,2,sameChar
20,18,151,6,3,sameChar
20,19,120,6,3,sameChar
21,1,154,7,1,sameChar
21,2,152,6,2,sameChar
21,3,146,12,1,sameChar
21,4,136,7,1,sameChar
21,5,111,7,2,sameChar
21,6,117,13,1,sameChar
21,7,124,7,2,sameChar
21,8,108,7,4,sameChar
21,9,111,6,1,sameChar
21,10,106,7,2,sameChar
21,11,108,7,2,sameChar
21,12,105,6,3,sameChar
21,13,107,6,2,sameChar
21,14,108,7,2,sameChar
21,15,112,7,2,sameChar
21,16,120,7,2,sameChar
21,17,118,7,3,sameChar
21,18,110,6,3,sameChar
21,19,113,7,3,sameChar
21,20,110,7,3,sameChar
22,1,110,8,1,sameChar
22,2,104,7,2,sameChar
22,3,106,7,2,sameChar
22,4,118,7,2,sameChar
22,5,114,7,2,sameChar
22,6,108,7,2,sameChar
22,7,111,7,3,sameChar
22,8,122,13,2,sameChar
22,9,107,7,2,sameChar
22,10,119,7,2,sameChar
22,11,109,7,2,sameChar
22,12,116,7,3,sameChar
22,13,132,8,2,sameChar
22,14,109,8,2,sameChar
22,15,132,7,3,sameChar
22,16,118,7,2,sameChar
22,17,155,6,4,sameChar
22,18,217,6,4,sameChar
22,19,178,7,3,sameChar
22,20,138,7,3,sameChar
22,21,189,8,3,sameChar
23,1,134,6,4,sameChar
23,2,165,8,1,sameChar
23,3,140,8,2,sameChar
23,4,120,8,1,sameChar
23,5,130,8,1,sameChar
23,6,119,8,2,sameChar
23,7,120,7,2,sameChar
23,8,107,8,2,sameChar
23,9,106,8,2,sameChar
23,10,107,7,2,sameChar
23,11,115,8,2,sameChar
23,12,119,14,5,sameChar
23,13,110,8,2,sameChar
23,14,110,8,3,sameChar
23,15,110,8,2,sameChar
23,16,113,8,6,sameChar
23,17,108,8,3,sameChar
23,18,108,8,3,sameChar
23,19,121,8,3,sameChar
23,20,110,8,3,sameChar
23,21,120,8,2,sameChar
23,22,112,7,3,sameChar
24,1,119,9,1,sameChar
24,2,109,8,4,sameChar
24,3,107,9,2,sameChar
24,4,114,10,2,sameChar
24,5,111,9,2,sameChar
24,6,107,9,2,sameChar
24,7,122,8,2,sameChar
24,8,110,9,2,sameChar
24,9,141,11,3,sameChar
24,10,113,8,1,sameChar
24,11,127,9,2,sameChar
24,12,124,8,3,sameChar
24,13,116,8,4,sameChar
24,14,135,9,2,sameChar
24,15,164,8,3,sameChar
24,16,129,8,3,sameChar
24,17,159,9,3,sameChar
24,18,147,9,2,sameChar
24,19,145,9,3,sameChar
24,20,137,12,2,sameChar
24,21,109,9,2,sameChar
24,22,109,9,3,sameChar
24,23,114,9,2,sameChar
25,1,104,9,8,sameChar
25,2,106,11,1,sameChar
25,3,106,11,1,sameChar
25,4,105,9,1,sameChar
25,5,104,9,3,sameChar
25,6,103,10,1,sameChar
25,7,105,9,2,sameChar
25,8,108,9,1,sameChar
25,9,103,9,2,sameChar
25,10,112,9,2,sameChar
25,11,104,10,2,sameChar
25,12,108,9,2,sameChar
25,13,104,9,2,sameChar
25,14,106,9,2,sameChar
25,15,106,9,3,sameChar
25,16,106,9,3,sameChar
25,17,106,9,2,sameChar
25,18,107,9,3,sameChar
